WikiRevId,LastTimestamp,ShouldRevert,NotSure,LooksGood
enwiki:945354904,1584103027,0,0,1
enwiki:945354903,1584103025,0,1,0
enwiki:945354900,1584103021,0,0,1
enwiki:945354891,1584103015,0,0,1
enwiki:945354886,1584103012,0,1,0
enwiki:945354856,1584103008,0,1,0
enwiki:945354857,1584102990,0,1,0
enwiki:945354852,1584102986,0,1,0
enwiki:945354821,1584102981,0,1,0
enwiki:945354822,1584102977,0,1,0
enwiki:945354804,1584102974,0,1,0
enwiki:945354805,1584102962,0,1,0
enwiki:945354784,1584102955,0,1,0
enwiki:945354785,1584102952,0,1,0
enwiki:945354720,1584102946,0,1,0
enwiki:945354721,1584102943,0,1,0
enwiki:945354716,1584102912,0,1,0
enwiki:945354714,1584102910,0,1,0
enwiki:945354697,1584102907,0,1,0
enwiki:945354698,1584102903,0,1,0
enwiki:945354689,1584102897,0,1,0
enwiki:945354682,1584102895,0,1,0
enwiki:945354684,1584102893,0,1,0
enwiki:945354672,1584102889,0,1,0
enwiki:945354645,1584102885,0,1,0
enwiki:945354648,1584102880,0,1,0
enwiki:945354638,1584102877,0,0,1
enwiki:945354632,1584102867,0,1,0
enwiki:945354619,1584102859,0,1,0
enwiki:945354621,1584102857,0,1,0
enwiki:945354616,1584102853,0,1,0
enwiki:945354611,1584102851,0,1,0
enwiki:945354604,1584102848,0,1,0
enwiki:945354595,1584102844,0,1,0
enwiki:945354589,1584102841,0,1,0
enwiki:945354576,1584102837,0,1,0
enwiki:945354565,1584102832,0,1,0
enwiki:945354568,1584102827,0,1,0
enwiki:945354502,1584102825,0,1,0
enwiki:945354506,1584102822,0,1,0
enwiki:945354481,1584102816,0,1,0
enwiki:945354482,1584102789,0,1,0
enwiki:945354403,1584102782,0,1,0
enwiki:945354404,1584102740,1,0,0
enwiki:945354400,1584102734,0,1,0
enwiki:945354393,1584102731,0,1,0
enwiki:945354389,1584102729,0,1,0
enwiki:945354384,1584102726,0,1,0
enwiki:945354383,1584102724,0,1,0
enwiki:945354365,1584102721,0,1,0
enwiki:945354367,1584102718,0,1,0
enwiki:945354362,1584102715,0,1,0
enwiki:945354352,1584102712,0,1,0
enwiki:945354340,1584102709,0,1,0
enwiki:945354342,1584102703,0,1,0
enwiki:945354333,1584102698,0,1,0
enwiki:945351485,1584102694,0,1,0
enwiki:945350990,1584102690,1,0,0
enwiki:945351961,1584101532,1,0,0
enwiki:945351502,1584101518,0,1,0
enwiki:945351503,1584101510,0,1,0
enwiki:945351518,1584101504,0,1,0
enwiki:945351519,1584101502,0,0,1
enwiki:945351523,1584101480,0,1,0
enwiki:945351537,1584101476,0,1,0
enwiki:945351538,1584101468,0,0,1
enwiki:945351543,1584101446,0,0,1
enwiki:945351545,1584101443,0,0,1
enwiki:945351738,1584101430,0,1,0
enwiki:945351726,1584101387,0,1,0
enwiki:945351546,1584101372,0,1,0
enwiki:945351075,1584101366,0,1,0
enwiki:945351091,1584101363,0,1,0
enwiki:945351103,1584101353,1,0,0
enwiki:945351621,1584101338,0,1,0
enwiki:945351156,1584101333,1,0,0
enwiki:945351163,1584101318,0,1,0
enwiki:945351190,1584101305,0,1,0
enwiki:945351217,1584101300,0,1,0
enwiki:945351291,1584101292,0,1,0
enwiki:945351346,1584101283,0,1,0
enwiki:945351367,1584101273,0,0,1
enwiki:945344682,1584101235,0,1,0
enwiki:945344685,1584101219,0,0,1
enwiki:945344693,1584101197,0,1,0
enwiki:945344694,1584101195,0,1,0
enwiki:945344695,1584101191,0,1,0
enwiki:945344699,1584101188,0,1,0
enwiki:945344700,1584101185,0,1,0
enwiki:945344701,1584101180,0,1,0
enwiki:945344707,1584101171,0,1,0
enwiki:945344708,1584101166,0,1,0
enwiki:945344709,1584101164,0,1,0
enwiki:945344711,1584101160,0,1,0
enwiki:945344718,1584101156,0,1,0
